K&A,DD,AoW,AoM,DV,WT,Cluster
0.00013003055718094347,0.0,0.001144549922574567,0.0,0.00012887705129306648,0.0,1
0.0031207333723425046,0.00633914421553089,0.00861778765232614,0.0,0.010138328035054545,0.0,1
0.010077368181522661,0.02614896988906497,0.009762337574900706,0.010295054128635111,0.01357504940286966,0.0018214936247723107,1
0.04512060334178532,0.10816164817749603,0.06490271325658117,0.0036085756739545755,0.17480024057049576,0.0018214936247723107,1
6.501527859047174e-05,0.0,0.001144549922574567,0.0003184037359371672,0.00017183606839074606,0.0,0
0.003055718093752033,0.0003961965134706841,0.0024237527772167367,0.002971768202080241,0.0024057049574705697,0.0,0
0.0003250763929523587,0.0,0.00020197939810140397,0.0,0.00012887705129306648,0.0,0
0.00013003055718094347,0.0,0.0,0.0,0.00012887705129306648,0.0,0
0.0,0.0,6.732646603380132e-05,0.0,0.0,0.0,1
0.00039009167154281654,0.0019809825673533926,0.003972261495994084,0.0027594990447887963,0.00038663115387918556,0.0,1
0.003315779208113906,0.0,0.002895038039453318,0.0,0.0006014262393676251,0.0,0
0.08783564137572329,0.023771790808240885,0.059112637177674544,0.0006368074718743413,0.07766990291262135,0.0,0
0.009687276509979859,0.031299524564183834,0.09971049619605467,0.011144130757800894,0.025818369275710962,0.0,0
0.0008451986216761048,0.0007923930269413404,0.0012792028546421835,0.0007429420505200637,0.001031016410344518,0.0,0
0.05584812430921267,0.021394611727416787,0.04860970847640208,0.009764381235406499,0.15826101898788555,0.0,0
0.006241466744685009,0.0023771790808240767,0.01683161650844947,0.0019104224156230101,0.009493942778589226,0.0,0
0.03998439633313829,0.003961965134706799,0.058910657779573154,0.03990660157079176,0.003050090213935902,0.0,0
0.017034002990702825,0.10380348652931853,0.028546421598330318,0.0002122691572914448,0.02401409055760803,0.0,0
0.015863727976074382,0.0768621236133122,0.10671244866356965,0.008915304606240716,0.07320216513446172,0.0,0
0.006631558416227826,0.013074484944532477,0.1310846293678045,0.007217151347909151,0.1258699200962282,0.0,0
0.04069956439763345,0.14580031695721077,0.17915572611593616,0.07238378263638293,0.23421256121659936,0.0,1
0.004616084779923299,0.0,0.0029623645054871195,0.0,0.00017183606839074606,0.0,1
0.0006501527859047035,0.0,0.0008752440584393895,0.0001061345786457224,0.00017183606839074606,0.0,1
0.00013003055718094347,0.0,0.005924729010974225,0.0,0.00012887705129306648,0.0,1
0.0001950458357714152,0.0,0.0002693058641352053,0.0002122691572914448,0.0,0.0018214936247723107,1
0.024250698914244855,0.11053882725832012,0.11236787181040866,0.01995330078539588,0.055374173038920865,0.0,1
0.019179507184188288,0.04358161648177495,0.02329495724769408,0.021120781150498834,0.042400549875418844,0.0,1
0.11377673753332032,0.1541204437400951,0.18279135528176127,0.003502441095308853,0.24628404502104992,0.0018214936247723107,1
0.0,0.0,0.0016831616508449498,0.0,4.2959017097679575e-05,0.0,1
0.001885443079123597,0.007923930269413612,0.008550461186292338,0.0,0.010610877223129131,0.0,1
0.008712047331122824,0.03684627575277337,0.009156399380596522,0.010401188707280833,0.01361800841996734,0.0,1
0.052077238150965474,0.1303486529318542,0.07984918871608429,0.007535555083846322,0.21256121659936422,0.0018214936247723107,1
0.00013003055718094347,0.0,0.0006059381943041842,0.0002122691572914448,0.00030071311968381254,0.0,0
0.0018204278005331254,0.0003961965134706841,0.0007405911263717729,0.0004245383145828896,0.003995188590085047,0.0,0
0.00026006111436188695,0.0,0.0002693058641352053,0.0,8.591803419537303e-05,0.0,0
6.501527859047174e-05,0.0003961965134706841,0.00020197939810140397,0.0,0.0,0.0,0
0.0,0.0,6.732646603380132e-05,0.0,4.2959017097679575e-05,0.0,1
0.0008451986216761048,0.0003961965134706841,0.00377028209789268,0.0028656336234345187,0.00017183606839074606,0.0,1
0.00266562642220923,0.0,0.0041069144280616865,0.0,0.00017183606839074606,0.0,0
0.10090371237240751,0.02931854199683042,0.05944926950784353,0.0011674803651029533,0.08355528825500472,0.0,0
0.011312658474741569,0.028129952456418375,0.11182926008213828,0.013903629802589686,0.03183263166938739,0.0,0
0.0006501527859047035,0.0007923930269413404,0.001548508718777361,0.001592018679685843,0.0007303032906607054,0.0,0
0.05883882712437423,0.02297939778129951,0.050966134787585,0.017406070897898536,0.1699029126213592,0.0,0
0.0064365125804564105,0.003169572107765445,0.019120716353598605,0.0016981532583315653,0.01082567230861757,0.0,0
0.041089656069176264,0.003565768621236129,0.06665320137345991,0.028019528762470814,0.0035226394020104884,0.0,0
0.011572719589103442,0.1089540412044374,0.027671177539890943,0.0003184037359371672,0.025259902053441016,0.06557377049180327,0
0.01859436967687407,0.1026148969889065,0.09661347875849996,0.006049670982806201,0.06821891915112982,0.0,0
0.00923216955984657,0.012282091917591123,0.15215781323638322,0.014115898959881131,0.13841395308875332,0.0,0
0.004616084779923299,0.0,0.0020197939810139565,0.0,8.591803419537303e-05,0.0,1
0.0011702750146284358,0.0007923930269413404,0.002289099845149134,0.0,0.0002147950854884395,0.0,1
0.0,0.0,0.004443546758230679,0.0,0.0,0.0,1
0.00026006111436188695,0.0,0.00020197939810140397,0.0001061345786457224,0.0,0.0,1
0.02750146284376829,0.1263866877971474,0.12192822998720797,0.018042878369772874,0.05120714838044505,0.0,1
0.020219751641635787,0.044770206022187,0.017572207634821244,0.004033113988537465,0.03441017269524872,0.0,1
0.12229373902867173,0.15015847860538828,0.19019726654547903,0.004351517724474636,0.2913050949394278,0.0018214936247723107,1
0.00026006111436188695,0.0,0.002693058641351928,0.0,4.2959017097679575e-05,0.0,1
0.003510825043885321,0.007923930269413612,0.009021746448528933,0.0,0.012973623163502007,0.0,1
0.008256940380989536,0.03248811410459587,0.009627684642833104,0.011674803651029509,0.01739840192456396,0.0,1
